Title,Author,Publication date,Publisher,Language,Pages,Editions,Rating,Aggregate approval,Want to read,Currently reading,Have read
Henry of Guise,G. P. R. James,-1.8741281229294147,"Longman, Orme, Brown, Green, & Longmans",English,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
The gladiators,G. J. Whyte-Melville,-1.525486063515939,"Longman, Green, Longman, Roberts, & Green",English,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
The World of Null-A,A. E. van Vogt,0.23225098602700037,John Goodchild Publishers,English,-0.24518799220095389,-0.11505394163486728,5.0,-0.1598730122950522,-0.08907958859357212,-0.06993832827610479,-0.19681643602172674
Jasmine Green Rescues,Helen Peters,0.7697408276227753,Walker Books US,,-0.7230324017113783,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
My literary passions,William Dean Howells,-1.0606299842979716,Harper,,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
The heart's highway,Mary Eleanor Wilkins Freeman,-0.9879962219201642,"Doubleday, Page",,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Tau Zero,Poul Anderson,0.04340320384470109,Gollancz,English,-0.45632854524044375,-0.11505394163486728,4.0,-0.11961924117722136,0.07570540240903685,0.15866042033307504,-0.19681643602172674
Soldados de Salamina,Javier Cercas,0.4792057781115456,Tusquets,Spanish,-0.4507722148972993,-0.10379645898651477,3.8,0.027977919588158387,-0.06504844407235832,-0.12708801542839973,-0.04825986990314954
The Green Hills of Earth,Robert A. Heinlein,0.2758312434536848,Baen,English,-0.11183606396548659,-0.11505394163486728,4.0,-0.012275851529672453,-0.06848146471824601,-0.12708801542839973,0.06315755468578337
The Dolly dialogues,Anthony Hope,-1.1332637466757791,E. A. Weeks & company,English,-0.48966652729931054,-0.10379645898651477,4.0,-0.17329093600099582,-0.1268428156983367,-0.12708801542839973,-0.23395557755137106
The Angel and the author and others: And others,Jerome Klapka Jerome,-0.8717822021156724,B. Tauchnitz,,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
A Court of Mist and Fury,Sarah J. Maas,0.6971070652449679,Bloomsbury,English,1.8551048775076557,-0.10379645898651477,3.94,11.72089335389566,16.900939587904592,21.018296230920733,9.385082078626503
Letra Escarlata,Nathaniel Hawthorne,0.7116338177205294,CreateSpace Independent Publishing Platform,Spanish,-0.7452577230839562,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
House on the Borderland,William Hope Hodgson,0.7697408276227753,Independently Published,English,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
South Wind,Norman Douglas,0.7116338177205294,Head of Zeus,English,0.1659804531917369,-0.11505394163486728,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
Conversations in Sicily,Elio Vittorini,0.4646790256359841,New Directions,English,-0.6007931341621999,-0.11505394163486728,4.0,-0.17329093600099582,-0.0993786505312352,-0.12708801542839973,-0.23395557755137106
"Sunday, Under Three Heads: As it Is, as Sabbath Bills Would Make It, as it ...",Charles Dickens,-1.9177083803560993,J. W. Jarvis & son,,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
The malcontent,John Marston,-5.2879149546863635,"Printed by V[alentine]. S[immes]. for William Aspley, and are to be sold at his shop in Paules Church-yard.",English,-1.2119894719080917,-0.10379645898651477,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
Under Pressure,Frank Herbert,0.08698346127138554,Ballantine Books,English,-0.3896525811227101,-0.11505394163486728,3.5,-0.13303716488316497,-0.0993786505312352,-0.06993832827610479,-0.12253815296243814
San ti II,Cixin Liu,0.580893045440476,Chongqing chu ban she.,Chinese,0.9994300046634075,-0.11505394163486728,4.64,0.4578881951265917,-0.013553134384043012,0.10151073318078009,0.6573838191600921
The mask of Apollo.,Mary Renault,-0.029230558533106327,Pantheon Books,English,0.4493533006921049,-0.11505394163486728,0.0,-0.22696263082477028,-0.09594562988534751,-0.12708801542839973,-0.27109471908101535
